date,dy1,dy2,dy5,dy7
05/2015,-0.058936,-0.04905,-0.034215,-0.033421
06/2015,-0.05142,-0.044987,-0.033717,-0.031554
07/2015,-0.049126,-0.045187,-0.033068,-0.031092
08/2015,-0.04686,-0.039823,-0.028937,-0.02676
09/2015,-0.040517,-0.031734,-0.021467,-0.020801
10/2015,-0.044313,-0.032702,-0.02292,-0.021708
11/2015,-0.045429,-0.030984,-0.021967,-0.020671
12/2015,-0.042077,-0.02528,-0.018133,-0.017437
01/2016,-0.03788,-0.018946,-0.007606,-0.009237
02/2016,-0.023191,-0.00887,-0.005592,-0.005773
03/2016,-0.026849,-0.0169,-0.010052,-0.010593
04/2016,-0.030371,-0.021409,-0.015007,-0.015072
05/2016,-0.022601,-0.020324,-0.017815,-0.018077
06/2016,-0.028684,-0.025162,-0.019497,-0.019113
07/2016,-0.037743,-0.030469,-0.023762,-0.022855
08/2016,-0.023713,-0.023735,-0.021573,-0.021193
09/2016,-0.028582,-0.028463,-0.022347,-0.022124
10/2016,-0.032163,-0.028622,-0.021142,-0.021178
11/2016,-0.030285,-0.028968,-0.025645,-0.025328
12/2016,-0.038429,-0.047708,-0.034331,-0.033099
01/2017,-0.055812,-0.060078,-0.042104,-0.039835
02/2017,-0.065453,-0.07051,-0.052726,-0.046409
03/2017,-0.067851,-0.072603,-0.055129,-0.046958
